,m/z,Name,Formula
307.0838178877,308.0911,Glutathione,C10H17N3O6S
555.2692975341,556.27657,Enkephalin L,C28H37N5O7
624.0873082632,625.09457,,C14H28N10O10S4
493.3168156897,494.3241,PC_16:1_9Z_0:0_,C24H48NO7P
257.1028750516,258.11016,Glycerophosphocholine,C8H20NO6P
780.1092067055,781.11647,,C21H33N8O18PS2
347.0630811124,348.07036,Adenosine monophosphate,C10H14N5O7P
254.2246098628,255.2319,Hypogeic acid,C16H30O2
625.0869294704,626.09416,,C19H39N5O2S8
663.1091419334,664.11641,Fenugreekine,C21H27N7O14P2
308.1987698818,347.16191,Methylgingerol,C18H28O4
451.2698866023,452.27715,PE_16:1_9Z_0:0_,C21H42NO7P
626.0839768677,627.09143,,C23H27N6O7PS3
256.2402073027,257.24756,2-hydroxyhexadecanal,C16H32O2
342.2882560363,343.29553,,C19H38N2O3
479.3011671946,480.30844,PE_18:1_9Z_0:0_,C23H46NO7P
624.089021407,625.09622,,C31H32N2S6
497.2753872161,498.28264,PS_16:0_0:0_,C22H44NO9P
330.2770157386,331.28429,1-monohexadecanoylglycerol,C19H38O4
612.2907258755,613.29805,,C30H40N6O8
495.2597101548,496.26699,,C22H42NO9P
243.1834057892,244.19078,N-Undecanoylglycine,C13H25NO3
495.3324288114,496.33977,PC_16:0_0:0_,C24H50NO7P
278.1518329659,317.11497,alpha-CEHC,C16H22O4
342.1162150702,381.07936,Melibiose,C12H22O11
612.1521003808,613.15925,Oxidized glutathione,C20H32N6O12S2
370.3195356798,371.32681,,C21H42N2O3
521.3481349926,522.3554,LysoPC_18:1_9Z_,C26H52NO7P
467.3010905176,468.30845,LysoPC_14:0_0:0_,C22H46NO7P
361.2041851366,400.16732,,C24H27NO2
541.0610878842,542.06839,,C15H21N5O13P2
215.0558713098,216.06306,Glycerylphosphorylethanolamine,C5H14NO6P
624.0900788783,625.09723,,C18H32N4O12S4
310.1780385219,311.18531,"3-Hydroxy-6,8-dimethoxy-7_11_-eremophilen-12,8-olide",C17H26O5
228.2088971606,229.21627,Myristic acid,C14H28O2
282.2558879557,283.26317,Oleic acid,C18H34O2
414.2464998916,453.20966,,C18H38O10
370.220268279,409.18343,Octaethylene glycol,C16H34O9
312.175938084,313.18322,N-Undecylbenzenesulfonic acid,C17H28O3S
242.2245493667,243.23193,Isopentyl decanoate,C15H30O2
458.2726909719,497.23585,,C20H42O11
227.1886033179,228.19586,,C13H25NO2
326.1940672306,365.15723,Heptaethylene glycol,C14H30O8
276.1725599036,315.13572,Cyclandelate,C17H24O3
358.3083016352,359.31559,MG_18:0_0:0_0:0_,C21H42O4
390.2770064901,391.28428,12-Ketodeoxycholic acid,C24H38O4
406.3294279086,429.31865,,C22H46O6
450.355632051,489.31879,,C24H50O7
243.0871382835,244.09452,,C7H18NO6P
337.3344708299,338.34175,,C22H43NO
502.2989119336,541.26209,,C22H46O12
326.1915737835,327.19884,2-Dodecylbenzenesulfonic acid,C18H30O3S
453.2855021083,454.29281,PE_16:0_0:0_,C21H44NO7P
361.2464368707,362.25371,,C18H35NO6
554.2857966959,555.29288,,C25H47O11P
523.0503892546,524.0578,,C15H19N5O12P2
414.2042741124,453.1674,Eplerenone,C24H30O6
385.3191962792,424.28236,Pentadecanoylcarnitine,C22H43NO4
494.3818343586,533.34501,,C26H54O8
465.2854445078,466.2928,LysoPC_14:1_9Z_,C22H44NO7P
587.1330269877,626.09613,,
555.2729364769,556.28003,,C18H49N7O4S4
452.3362423549,475.32546,,C24H44N4O4
362.303209776,385.29243,,C20H42O5
324.1936900539,363.15686,Lactapiperanol D,C18H28O5
238.1416011701,277.10479,,C10H22O6
464.3712898982,503.33443,,C25H52O7
508.3974863465,547.36068,,C27H56O8
538.4081177151,577.37126,,C28H58O9
282.1678671866,321.13101,Hexaethylene glycol,C12H26O7
546.3250624878,585.28833,,C24H50O13
318.277030391,341.26625,,C18H38O4
219.9895702013,220.99695,,C4H12O4S3
420.3450690806,443.33429,,C23H48O6
286.21434567,325.17759,Hexadecanedioic acid,C16H30O4
194.1153114956,233.07846,Tetraethylene glycol,C8H18O5
480.2159175106,503.20514,,C18H41O10PS
328.2613558341,367.22454,MG_16:1_11Z_0:0_0:0_0:0_,C19H36O4
579.0081034776,580.01532,,C22H9N7O11S
552.4237092101,591.38683,,C29H60O9
298.2508367981,299.25808,3-Oxooctadecanoic acid,C18H34O3
618.2147929125,657.17793,,C17H38N12O7S3
255.2280190884,256.23526,,
402.2253684571,441.18852,Acetyl tributyl citrate,C20H34O8
314.2456395099,353.20884,MG_15:1_11Z_0:0_0:0_0:0_,C18H34O4
533.2926153092,556.28169,,C15H36N17O3P
582.4342938664,621.39745,,C30H62O10
524.2421150499,547.23132,,C24H48N2S5
624.0822630134,625.08935,,C22H20N14OS4
298.1602564017,299.16755,,C16H26O3S
254.2252269768,255.23253,,
533.2916209053,556.2809,,C19H53NO9P2S
556.2761419873,557.28351,,C27H48N4S4
596.450035098,635.41312,,C31H64O10
351.3137234778,352.32101,,C22H41NO2
270.2195089685,309.18265,3-Oxohexadecanoic acid,C16H30O3
288.0593796607,327.02254,Orotidine,C10H12N2O8
398.2433120737,399.25059,,C18H39O7P
274.2508139987,313.21393,,C16H34O3
568.2683584437,591.25753,,C26H52N2OS5
376.3188714631,399.30809,,C21H44O5
188.1047773826,227.06808,Azelaic acid,C9H16O4
422.3243176689,461.28753,,C22H46O7
280.2402371109,281.2475,Linoleic acid,C18H32O2
466.3505283285,505.31369,,C24H50O8
510.3768150779,549.33997,,C26H54O9
378.2981294004,401.28735,,C20H42O6
226.19327367,227.20045,5-Tetradecenoic acid,C14H26O2
302.2457548807,303.25304,MG_0:0_14:0_0:0_,C17H34O4
369.3242846161,408.28744,N-Stearoyl GABA,C22H43NO3
602.1110541267,625.10021,,C18H27N4O17P
340.2072426423,341.2145,,C19H32O3S
334.1578808746,373.12101,,C12H31O6PS
342.1467268602,381.10986,Austrobailignan 7,C20H22O5
626.460390216,665.42379,,C30H54N14O
572.2959372842,611.25942,PI_16:0_0:0_,C25H49O12P
